[INFO]      20220728_19:22:05.670 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220728_19:22:05.670 | ACCSvc | OnSessionChange | event_type 3 event_data 3
[INFO]      20220728_19:22:05.702 | ACCSvc | OnSessionChange | WTS_REMOTE_CONNECT
[INFO]      20220728_19:22:05.702 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220728_19:22:23.547 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220728_19:22:23.547 | ACCSvc | OnSessionChange | event_type 6 event_data 2
[INFO]      20220728_19:22:23.547 | ACCSvc | OnSessionChange | WTS_SESSION_LOGOFF
[INFO]      20220728_19:22:23.563 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220728_19:22:24.606 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220728_19:22:24.606 | ACCSvc | OnSessionChange | event_type 2 event_data 2
[INFO]      20220728_19:22:24.622 | ACCSvc | OnSessionChange | WTS_CONSOLE_DISCONNECT
[INFO]      20220728_19:22:24.637 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220728_19:22:24.637 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220728_19:22:24.668 | ACCSvc | OnSessionChange | event_type 4 event_data 3
[INFO]      20220728_19:22:24.684 | ACCSvc | OnSessionChange | WTS_REMOTE_DISCONNECT
[INFO]      20220728_19:22:24.684 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220728_19:22:25.028 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220728_19:22:25.043 | ACCSvc | OnSessionChange | event_type 1 event_data 3
[INFO]      20220728_19:22:25.059 | ACCSvc | OnSessionChange | WTS_CONSOLE_CONNECT
[INFO]      20220728_19:22:25.059 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220728_19:22:25.792 | ACCSvc | OnPowerEvent | OnPowerEvent Enter
[INFO]      20220728_19:22:25.792 | ACCSvc | OnPowerEvent | event_type 4 event_data 0
[INFO]      20220728_19:22:25.792 | ACCSvc | OnPowerEvent | PBT_APMSUSPEND
[INFO]      20220728_19:22:25.792 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220728_19:23:19.483 | ACCSvc | OnStart | ACCService in OnStart
[INFO]      20220728_19:23:19.514 | ACCSvc | ServiceWorkerThread | ServiceWorkerThread Enter
[INFO]      20220728_19:23:19.562 | ACCSvc | RegisterPowerETW | ERROR_SUCCESS
[ERROR]     20220728_19:23:19.562 | ACCSvc | RegisterPowerETW | CreateThread
[INFO]      20220728_19:23:24.268 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220728_19:23:24.299 | ACCSvc | OnSessionChange | event_type 5 event_data 1
[INFO]      20220728_19:23:24.362 | ACCSvc | OnSessionChange | WTS_SESSION_LOGON
[INFO]      20220728_19:23:24.409 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220728_19:26:44.500 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220728_19:26:44.500 | ACCSvc | OnSessionChange | event_type 3 event_data 2
[INFO]      20220728_19:26:44.515 | ACCSvc | OnSessionChange | WTS_REMOTE_CONNECT
[INFO]      20220728_19:26:44.531 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220728_19:26:50.149 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220728_19:26:50.165 | ACCSvc | OnSessionChange | event_type 6 event_data 1
[INFO]      20220728_19:26:50.181 | ACCSvc | OnSessionChange | WTS_SESSION_LOGOFF
[INFO]      20220728_19:26:50.181 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220728_19:26:50.415 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220728_19:26:50.446 | ACCSvc | OnSessionChange | event_type 2 event_data 1
[INFO]      20220728_19:26:50.462 | ACCSvc | OnSessionChange | WTS_CONSOLE_DISCONNECT
[INFO]      20220728_19:26:50.462 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220728_19:26:50.462 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220728_19:26:50.462 | ACCSvc | OnSessionChange | event_type 4 event_data 2
[INFO]      20220728_19:26:50.462 | ACCSvc | OnSessionChange | WTS_REMOTE_DISCONNECT
[INFO]      20220728_19:26:50.462 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220728_19:26:50.703 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220728_19:26:50.719 | ACCSvc | OnSessionChange | event_type 1 event_data 2
[INFO]      20220728_19:26:50.719 | ACCSvc | OnSessionChange | WTS_CONSOLE_CONNECT
[INFO]      20220728_19:26:50.719 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220728_19:26:50.766 | ACCSvc | OnPowerEvent | OnPowerEvent Enter
[INFO]      20220728_19:26:50.766 | ACCSvc | OnPowerEvent | event_type 4 event_data 0
[INFO]      20220728_19:26:50.766 | ACCSvc | OnPowerEvent | PBT_APMSUSPEND
[INFO]      20220728_19:26:50.766 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220728_21:09:32.394 | ACCSvc | OnPowerEvent | OnPowerEvent Enter
[INFO]      20220728_21:09:32.394 | ACCSvc | OnPowerEvent | event_type 12 event_data 0
[INFO]      20220728_21:09:32.394 | ACCSvc | OnPowerEvent | PBT_APMRESUMEAUTOMATIC
[INFO]      20220728_21:09:32.394 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220728_21:09:32.425 | ACCSvc | OnPowerEvent | OnPowerEvent Enter
[INFO]      20220728_21:09:32.425 | ACCSvc | OnPowerEvent | event_type 7 event_data 0
[INFO]      20220728_21:09:32.425 | ACCSvc | OnPowerEvent | PBT_APMRESUMESUSPEND
[INFO]      20220728_21:09:32.425 | ACCSvc | OnPowerEvent | OnPowerEvent End
[INFO]      20220728_21:09:33.020 | ACCSvc | OnSessionChange | OnSessionChange Enter
[INFO]      20220728_21:09:33.020 | ACCSvc | OnSessionChange | event_type 5 event_data 2
[INFO]      20220728_21:09:33.020 | ACCSvc | OnSessionChange | WTS_SESSION_LOGON
